created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2020-09-25 10:00:23+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",We're very much open for enquiries and bookings for travel in 2021! #cargoshipcruises #cargoshipjourney #seatravel https://t.co/N2xMcoMBvS,en,"['cargoshipcruises', 'cargoshipjourney', 'seatravel']",['https://pbs.twimg.com/media/EiwJ9DRXcAArU1-.jpg'],
2020-05-08 21:09:58+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",https://t.co/EfvKsdkFhp,und,,['https://pbs.twimg.com/media/EXhko9pXsAAX6jV.jpg'],
2020-03-23 19:51:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @Humansatsea: Stay inside your home. we are working to bring what you need. #humansatsea https://t.co/jJTOecvEmL,en,['humansatsea'],['https://pbs.twimg.com/media/ETzgEVHUYAATmEd.jpg'],
2017-10-15 12:00:37+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","RT @careersatsea: New day. New adventure. Be a part of it.
#careersatsea https://t.co/hc6Nj8Mcmg",en,['careersatsea'],['https://pbs.twimg.com/ext_tw_video_thumb/907897567131860992/pu/img/IOQyH2xbSNiH4Kjo.jpg'],
2016-07-05 21:05:56+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @dixitsudhir12: #seafarers #SailorsLife @FlyingAngelNews @MaritimeInsight @IMOHQ https://t.co/MufxCaNX2N,und,"['seafarers', 'SailorsLife']",['https://pbs.twimg.com/media/Cmg7y3uUcAAOQNE.jpg'],
2016-04-03 16:34:02+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",New CMA CGM routes for passengers now on our website https://t.co/io30pOdOk3 for inspiration! #TravelTuesday https://t.co/nPKhv8BzLr,en,['TravelTuesday'],['https://pbs.twimg.com/media/CfDRh-XXIAAi7nj.jpg'],
2015-12-19 13:41:48+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @MarlinsUK #thankSAll Who were yours? https://t.co/k5pOseLpHl https://t.co/I3c86JtWrd,en,['thankSAll'],['https://pbs.twimg.com/media/CWl7I0hXIAA7C1J.png'],
2015-12-05 13:22:40+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @NANITOT800 #thankSAll Who were yours? https://t.co/k5pOseLpHl https://t.co/1yOfhE86L9,en,['thankSAll'],['https://pbs.twimg.com/media/CVdwgMKWEAA53fy.png'],
2015-11-28 12:29:45+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @NANITOT800 #thankSAll Who were yours? https://t.co/k5pOseLpHl https://t.co/aSsh3g1RAQ,en,['thankSAll'],['https://pbs.twimg.com/media/CU5hQpmUkAAHiwX.png'],
2015-11-21 11:53:33+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @NANITOT800 #thankSAll Who were yours? https://t.co/k5pOseLpHl https://t.co/bZq4lMr4BR,en,['thankSAll'],['https://pbs.twimg.com/media/CUVV2UTWUAAmjTc.png'],
2015-10-10 11:49:27+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @seavisionuk #thankSAll Who were yours? http://t.co/k5pOseLpHl http://t.co/laDAHG9cYv,en,['thankSAll'],['https://pbs.twimg.com/media/CQ9CIlfWUAAgOqi.png'],
2015-10-07 09:00:02+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on cargo ships become great good will ambassadors for the industry. Why not try it! #maritime #shipping http://t.co/qDmzobEkzV,en,"['maritime', 'shipping']",['https://pbs.twimg.com/media/COh7wsAWgAA_JuU.jpg'],
2015-10-07 07:07:36+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @NOCnews: Good morning! Approaching @dartfordtraffic as we get closer to #London #RRSDiscovery @NERCscience http://t.co/0wnp1JtX4x,en,"['London', 'RRSDiscovery']",['https://pbs.twimg.com/media/CQsRpdmWUAABWn1.jpg'],
2015-10-05 09:00:07+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on cargo ships become great good will ambassadors for the industry. Why not try it! #maritime #shipping http://t.co/2FSbVisI4Y,en,"['maritime', 'shipping']",['https://pbs.twimg.com/media/COh7p1LW8AAWYDL.jpg'],
2015-10-01 08:57:06+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on cargo ships - why not? Good for crew morale &amp; social &amp; mental well being! #maritime #maritimenation http://t.co/SPifGEYCm9,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh69dIWcAEDFpm.jpg'],
2015-09-29 08:56:02+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on cargo ships - why not? Good for crew morale &amp; social &amp; mental well being! #maritime #maritimenation http://t.co/88XEHhEQLI,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh62ESWoAAkn00.jpg'],
2015-09-27 08:54:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on cargo ships - why not? They support our maritime charities #maritimenation #maritime http://t.co/ECQGVSBCDG,en,"['maritimenation', 'maritime']",['https://pbs.twimg.com/media/COh6RlOW8AAc3L1.jpg'],
2015-09-25 20:43:01+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3  - Purveyors of sea travel! #freighters #flightlesstravel #travel http://t.co/zhogQYEw5q,en,"['freighters', 'flightlesstravel', 'travel']",['https://pbs.twimg.com/media/COh38UfWUAAGlyx.jpg'],
2015-09-24 08:54:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on cargo ships - why not? They support our maritime charities #maritime #maritimenation http://t.co/Kj9V4RqlNE,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh6dc3WwAArko_.jpg'],
2015-09-23 08:53:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on UK cargo ships - why not? We can manage on a turnkey basis. Please help! #maritime #maritimenation http://t.co/SfLmEKo0ky,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh6C0vWoAAtbsK.jpg'],
2015-09-22 08:43:06+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3  - Purveyors of sea travel! #freighters #flightlesstravel #travel http://t.co/j492R9cEsL,en,"['freighters', 'flightlesstravel', 'travel']",['https://pbs.twimg.com/media/COh30UKWgAAavFU.jpg'],
2015-09-20 13:55:29+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @KontainersUK: This Fact Is Healthy And Will Keep You Going For The Day #shipping #export #ship #cargo #send http://t.co/XGcsZgcMiF,en,"['shipping', 'export', 'ship', 'cargo', 'send']",['https://pbs.twimg.com/media/CPCML2rUYAAHPYq.jpg'],
2015-09-20 13:52:31+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @KontainersUK: The Distances Travelled By Container Ships Is Huge! #shipping #ship #export #send #cargo #trade http://t.co/RZtTyvCbcd,en,"['shipping', 'ship', 'export', 'send', 'cargo', 'trade']",['https://pbs.twimg.com/media/CPWbp5TUYAAEnMt.jpg'],
2015-09-20 08:41:04+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3  - Purveyors of sea travel! #freighters #flightlesstravel #travel http://t.co/1mOENAzHna,en,"['freighters', 'flightlesstravel', 'travel']",['https://pbs.twimg.com/media/COh3dASWwAAVlmH.jpg'],
2015-09-19 11:37:39+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @GoNordicCruises #thankSAll Who were yours? http://t.co/k5pOseLpHl http://t.co/ffKox3DBjt,en,['thankSAll'],['https://pbs.twimg.com/media/CPQ2DEzWgAAN_5v.png'],
2015-09-14 08:52:04+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on UK cargo ships - why not? We can manage on a turnkey basis. Please help! #maritime #maritimenation http://t.co/yZr2qZtGZQ,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh539AWwAAhBPZ.jpg'],
2015-09-12 11:56:36+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @brocknoland @AlessandroSanos #thankSAll Who were yours? http://t.co/k5pOseLpHl http://t.co/uYpoH7idQK,en,['thankSAll'],['https://pbs.twimg.com/media/COs3QXGU8AED9Bw.png'],
2015-09-10 08:51:54+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on UK cargo ships - why not? We can manage on a turnkey basis. Please help! #maritime #maritimenation http://t.co/rvTf9VGDye,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh5n7QWcAEL-aB.jpg'],
2015-09-10 08:42:55+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pNWdsv  - Purveyors of sea travel! #flightlesstravel #freightertravel http://t.co/2En2x48vkj,en,"['flightlesstravel', 'freightertravel']",['https://pbs.twimg.com/media/COh3tIVW8AEgdrV.jpg'],
2015-07-24 16:08:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","USA Panama Far East circular dep. Savannah 70 Nights 1st voyage 11 August see website
#freighters #seavoyages http://t.co/P3hI2jFiHA",en,"['freighters', 'seavoyages']",['https://pbs.twimg.com/media/CKNXwZ1UMAA1noI.jpg'],
2015-07-20 08:28:01+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",'Conti Elektra' has an updated itinerary now including Curacao on 14 day circuit; see website #freghtertravel #travel http://t.co/MW0C6y1YdR,en,"['freghtertravel', 'travel']",['https://pbs.twimg.com/media/CKNXQsWUYAAnV97.jpg'],
2015-07-18 15:26:30+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",'Conti Paris' adds new route from Trieste 12 Aug details on our website #flightlesstravel #freighters #seatravel http://t.co/iJNNe02pk3,en,"['flightlesstravel', 'freighters', 'seatravel']",['https://pbs.twimg.com/media/CKNNooyUcAIaPz1.jpg'],
2015-07-17 17:45:07+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel since 1993. #seatravel #cruises http://t.co/cVPyza3dlL,en,"['seatravel', 'cruises']",['https://pbs.twimg.com/media/CJYybzQUkAAH5Im.jpg'],
2015-07-15 11:03:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel since 1993. http://t.co/TIgtSHffdj,en,,['https://pbs.twimg.com/media/CJYyJwgUkAAP3BH.jpg'],
2015-07-12 03:00:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel since 1993. #cruise #travel http://t.co/wmxnzcuOXR,en,"['cruise', 'travel']",['https://pbs.twimg.com/media/CJYx4xOUsAEzuQE.jpg'],
2015-07-11 09:56:04+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","For voyage inspiration see http://t.co/io30pOdOk3 - Travel the world your way!
#seavoyages #travel #cargo http://t.co/gp4GfPDKmi",en,"['seavoyages', 'travel', 'cargo']",['https://pbs.twimg.com/media/CJYuFKeUYAAQLBz.jpg'],
2015-07-10 07:45:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Travel the world your way! #flightlesstravel #freightercruises http://t.co/Ztz7v5l371,en,"['flightlesstravel', 'freightercruises']",['https://pbs.twimg.com/media/CJYtt84UMAA-0vq.jpg'],
